Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Scottie Barnes\barnesc01,PF,20,TOR,66,2360,16.3,0.548,0.2,0.231,7.6,16,11.6,14.6,1.6,2.2,11.9,19.1,,3.2,2.6,5.8,0.117,,0.5,0.4,0.9,1.7
RJ Barrett\barrerj01,SF,21,NYK,63,2172,13.8,0.515,0.348,0.336,2.8,15.7,9.1,14.6,0.9,0.7,10.1,27.3,,0.3,1.8,2.2,0.048,,-0.1,-1.3,-1.4,0.3
Will Barton\bartowi01,SG,31,DEN,65,2063,13.6,0.545,0.473,0.144,2.2,14.5,8.5,17.9,1.2,1.3,11.8,21,,1.1,1.9,3,0.069,,0.4,-0.8,-0.4,0.9
Paris Bass\basspa01,SF,26,PHO,2,7,14.1,0.436,0.333,0.333,31.8,29.8,30.8,0,6.9,0,22.5,54.8,,0,0,0,-0.164,,-11.1,-1.3,-12.4,0
Charles Bassey\bassech01,PF,21,PHI,23,168,21.7,0.66,0.085,0.255,14.8,26.1,20.5,6.6,1.5,9.1,13.3,16.2,,0.4,0.3,0.8,0.223,,-0.3,2.2,1.9,0.2
Keita Bates-Diop\bateske01,SF,26,SAS,53,842,12.3,0.572,0.221,0.243,6.4,19.2,12.7,5.6,1.5,1.4,12.8,14.1,,0.6,0.9,1.4,0.082,,-2.1,-0.3,-2.4,-0.1
Nicolas Batum\batumni01,PF,33,LAC,54,1331,13.3,0.599,0.698,0.089,2.2,16,9.3,9.5,1.9,2.4,9,13.6,,1.4,1.8,3.2,0.114,,0.2,1.6,1.9,1.3
Kent Bazemore\bazemke01,SF,32,LAL,37,518,6.8,0.466,0.567,0.127,2.7,10.7,6.7,8.3,2.2,1.4,11.8,13.3,,-0.3,0.5,0.2,0.02,,-4.5,0.8,-3.8,-0.2
Darius Bazley\bazleda01,PF,21,OKC,69,1924,12.7,0.515,0.414,0.262,3.7,19.7,11.6,7.8,1.5,3.4,11.1,18.3,,-0.4,2.3,1.9,0.048,,-2.1,0.2,-1.8,0.1
Bradley Beal\bealbr01,SG,28,WAS,40,1439,17.7,0.539,0.272,0.263,3,11.4,7.2,31.3,1.2,0.9,13.6,30.8,,0.8,0.7,1.5,0.05,,2.1,-1.3,0.8,1
Malik Beasley\beaslma01,SG,25,MIN,74,1849,11.8,0.541,0.743,0.067,1.4,11.3,6.2,8.5,1,0.6,5,19.6,,1.5,1.2,2.7,0.071,,0.8,-1.4,-0.7,0.6
Jordan Bell\belljo01,C,27,CHI,1,2,29.9,,,,56.5,0,28,0,24.4,0,,0,,0,0,0,0.605,,-8,10.8,2.8,0
DeAndre' Bembry\bembrde01,SF,27,TOT,56,1026,12,0.601,0.163,0.158,4.5,12.6,8.7,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.1,1.4,-0.7,0.3
DeAndre' Bembry\bembrde01,SF,27,BRK,48,949,12.5,0.609,0.169,0.164,4.5,12.9,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1,2.1,0.108,,-1.9,1.5,-0.4,0.4
DeAndre' Bembry\bembrde01,SF,27,MIL,8,77,4.8,0.375,0,0,5.6,9.4,7.5,9.5,1.2,0,11.1,5,,0,0.1,0.1,0.055,,-4.4,0.5,-3.9,0
Dāvis Bertāns\bertada01,PF,29,TOT,48,691,7.9,0.502,0.839,0.149,1.3,13.5,7.4,4.7,1,1.1,5.8,17.7,,-0.1,0.5,0.4,0.025,,-2.7,-1.2,-3.9,-0.3
Dāvis Bertāns\bertada01,PF,29,WAS,34,501,8.4,0.527,0.842,0.175,1.3,11.9,6.7,4.5,1.1,1,7.1,17.6,,0,0.3,0.3,0.027,,-2.5,-1.3,-3.8,-0.2
Dāvis Bertāns\bertada01,PF,29,DAL,14,190,6.4,0.441,0.831,0.085,1.2,17.6,9.3,5.3,0.8,1.4,2.6,17.9,,-0.2,0.2,0.1,0.02,,-3.5,-0.9,-4.3,-0.1
Patrick Beverley\beverpa01,PG,33,MIN,53,1359,14.9,0.542,0.562,0.292,4.5,13.1,8.7,24.8,2.1,3.5,13.3,16.2,,2.2,1.7,3.9,0.137,,0.8,2.1,3,1.7
Saddiq Bey\beysa01,SF,22,DET,74,2499,14.1,0.529,0.536,0.226,4.2,14.5,9.1,13.6,1.3,0.6,7.3,21.1,,2.3,1.5,3.8,0.074,,1,-1.2,-0.2,1.1
Khem Birch\birchkh01,C,29,TOR,48,886,13.8,0.54,0.066,0.376,12.8,13.3,13,8,1.5,2.5,10.2,11.4,,1.6,0.9,2.5,0.133,,-1.2,0.4,-0.8,0.3
Goga Bitadze\bitadgo01,C,22,IND,46,626,17.9,0.589,0.321,0.372,11.9,15.9,13.9,10.5,1.5,4.9,13.3,20,,1,0.6,1.6,0.123,,-0.5,-0.5,-1,0.2
Bismack Biyombo\biyombi01,C,29,PHO,30,397,17.4,0.597,0,0.518,14.3,20.2,17.4,6.2,1.3,4.5,13,17.5,,0.7,0.7,1.4,0.172,,-1.8,0.3,-1.5,0.1
Nemanja Bjelica\bjeline01,C,33,GSW,64,1006,13.6,0.557,0.439,0.243,5.7,21.6,13.9,19.3,1.7,2.2,18.2,17.9,,0.7,1.8,2.5,0.118,,-1.3,2.2,0.9,0.7
Eric Bledsoe\bledser01,PG,32,LAC,54,1361,12.7,0.514,0.348,0.25,2.2,11.7,7.1,24.4,2.5,1.2,18.3,20.5,,-0.5,1.7,1.3,0.045,,-2.1,1.1,-1,0.4
Keljin Blevins\blevike01,SF,26,POR,23,208,5.3,0.421,0.603,0.127,5.1,7.1,6.1,10.8,0.9,0.5,11.9,15.7,,-0.2,0,-0.2,-0.047,,-4.1,-3.4,-7.5,-0.3
Bogdan Bogdanović\bogdabo01,SG,29,ATL,55,1628,14.9,0.556,0.575,0.138,1.6,12.9,7.3,15.7,1.8,0.7,8.1,21.2,,2,0.9,2.9,0.085,,1.1,-0.3,0.9,1.2
Bojan Bogdanović\bogdabo02,PF,32,UTA,64,1979,15.8,0.603,0.505,0.269,3.2,11.6,7.6,8.6,0.7,0,10.3,23.6,,3.6,1.3,4.9,0.119,,1.8,-1.8,0,1
Bol Bol\bolbo01,PF,22,DEN,14,81,13.6,0.565,0.148,0.185,5.7,21.4,13.8,9.2,0.6,2.3,12,18,,0,0.1,0.1,0.068,,-0.5,-0.5,-0.9,0
Leandro Bolmaro\bolmale01,SF,21,MIN,32,215,3.7,0.387,0.395,0.256,7.3,11.6,9.4,8.7,1.3,0,21.4,11.8,,-0.2,0.2,-0.1,-0.017,,-6.1,-0.5,-6.5,-0.2
Isaac Bonga\bongais01,SF,22,TOR,15,69,8.8,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,,0,0.1,0.1,0.058,,-5.4,4.9,-0.5,0
Devin Booker\bookede01,SG,25,PHO,63,2168,21.3,0.573,0.342,0.254,2.2,13.3,7.9,23,1.7,1.1,9.6,31.9,,4,3.1,7.1,0.157,,3.7,0.2,3.9,3.3
Brandon Boston Jr.\bostobr01,SG,20,LAC,50,722,11,0.478,0.352,0.219,2.4,12.6,7.6,9.7,1.7,1.4,8.1,22.5,,-0.5,0.8,0.3,0.019,,-3,-0.5,-3.5,-0.3
